Date,Time,"VOC_Sensor {device=""F1"", name=""VOC_data""}","VOC_Sensor {device=""MQ135"", name=""VOC_data""}","VOC_Sensor {device=""MQ138"", name=""VOC_data""}","VOC_Sensor {device=""MQ3"", name=""VOC_data""}","VOC_Sensor {device=""MQ9"", name=""VOC_data""}"
9/21/2022,17:22:00,,236,2817,1291,224
9/21/2022,17:22:20,,233,2871,1282,222
9/21/2022,17:22:40,,233,2539,1283,221
9/21/2022,17:23:00,,230,3248,1281,253
9/21/2022,17:23:20,,225,3140,1272,216
9/21/2022,17:23:40,,224,2715,1268,221
9/21/2022,17:24:00,,220,3482,1263,215
9/21/2022,17:24:20,,220,2126,1254,214
9/21/2022,17:24:40,,219,3406,1248,210
9/21/2022,17:25:00,,215,3061,1239,210
9/21/2022,17:25:20,,213,1551,1227,210
9/21/2022,17:25:40,,213,2922,1294,207
9/21/2022,17:26:00,,212,2057,1222,208
9/21/2022,17:26:20,,208,3191,1216,205
9/21/2022,17:26:40,,208,2498,1206,203
9/21/2022,17:27:00,,208,2094,1217,203
9/21/2022,17:27:20,,202,2106,1199,203
9/21/2022,17:27:40,,198,2839,1192,198
9/21/2022,17:28:00,,198,2447,1184,197
9/21/2022,17:28:20,,197,2534,1178,191
9/21/2022,17:28:40,,199,2826,1178,195
9/21/2022,17:29:00,,216,1400,1218,245
9/21/2022,17:29:20,,271,3031,1481,429
9/21/2022,17:29:40,,353,1641,1883,687
9/21/2022,17:30:00,,450,2670,2208,879
9/21/2022,17:30:20,,528,1765,2444,999
9/21/2022,17:30:40,,593,2492,2627,1097
9/21/2022,17:31:00,,647,2832,2769,1118
9/21/2022,17:31:20,,691,3348,2846,1193
9/21/2022,17:31:40,,724,2473,2920,1221
9/21/2022,17:32:00,,778,3711,2977,1248
9/21/2022,17:32:20,,774,3868,3013,1260
9/21/2022,17:32:40,,788,3375,3061,1293
9/21/2022,17:33:00,,806,2173,3084,1292
9/21/2022,17:33:20,,815,3887,3111,1299
9/21/2022,17:33:40,,832,3798,3130,1308
9/21/2022,17:34:00,,838,1901,3137,1319
9/21/2022,17:34:20,,849,2220,3156,1320
9/21/2022,17:34:40,,857,1444,3171,1330
9/21/2022,17:35:00,0,859,2868,3185,1334
9/21/2022,17:35:20,,864,2199,3181,1349
9/21/2022,17:35:40,,872,1835,3211,1349
9/21/2022,17:36:00,0,878,3073,3216,1351
9/21/2022,17:36:20,,838,3643,3219,1347
9/21/2022,17:36:40,,880,2965,3228,1362
9/21/2022,17:37:00,,887,2893,3244,1370
9/21/2022,17:37:20,,893,2567,3264,1375
9/21/2022,17:37:40,,896,1856,3263,1381
9/21/2022,17:38:00,,905,2481,3272,1386
9/21/2022,17:38:20,,908,1928,3284,1395
9/21/2022,17:38:40,,911,2912,3289,1396
9/21/2022,17:39:00,,913,3244,3308,1399
9/21/2022,17:39:20,0,917,3186,3304,1407
9/21/2022,17:39:40,,919,2744,3324,1407
9/21/2022,17:40:00,,922,1620,3320,1410
9/21/2022,17:40:20,0,922,2713,3318,1410
9/21/2022,17:40:40,,927,2892,3326,1414
9/21/2022,17:41:00,,929,2937,3335,1413
9/21/2022,17:41:20,,927,2274,3333,1418
9/21/2022,17:41:40,,933,2612,3332,1416
9/21/2022,17:42:00,,928,3194,3340,1415
9/21/2022,17:42:20,,929,1749,3359,1424
9/21/2022,17:42:40,,931,2910,3351,1424
9/21/2022,17:43:00,,929,2520,3353,1424
9/21/2022,17:43:20,0,934,2283,3341,1419
9/21/2022,17:43:40,,938,2962,3351,1424
9/21/2022,17:44:00,,936,3823,3354,1420
9/21/2022,17:44:20,,934,2719,3339,1420
9/21/2022,17:44:40,,936,3324,3356,1434
9/21/2022,17:45:00,,937,3376,3354,1426
9/21/2022,17:45:20,,938,3125,3357,1423
9/21/2022,17:45:40,,946,3145,3353,1397
9/21/2022,17:46:00,,936,2195,3348,1425
9/21/2022,17:46:20,,938,2975,3353,1426
9/21/2022,17:46:40,,939,3139,3357,1425
9/21/2022,17:47:00,,938,3031,3364,1424
9/21/2022,17:47:20,,940,2483,3362,1429
9/21/2022,17:47:40,,935,2895,3366,1425
9/21/2022,17:48:00,,938,1846,3373,1426
9/21/2022,17:48:20,,936,2445,3364,1429
9/21/2022,17:48:40,,938,3387,3362,1420
9/21/2022,17:49:00,,947,2989,3372,1425
9/21/2022,17:49:20,,940,3146,3376,1422
9/21/2022,17:49:40,0,939,2941,3374,1429
9/21/2022,17:50:00,,910,2636,3360,1428
9/21/2022,17:50:20,,937,1039,3362,1428
9/21/2022,17:50:40,,935,1519,3344,1428
9/21/2022,17:51:00,,942,2297,3354,1426
9/21/2022,17:51:20,,941,2098,3365,1426
9/21/2022,17:51:40,,938,2799,3363,1427
9/21/2022,17:52:00,0,940,3851,3458,1429
9/21/2022,17:52:20,,938,3231,3359,1426
9/21/2022,17:52:40,0,937,2470,3368,1433
9/21/2022,17:53:00,,938,3851,3357,1442
9/21/2022,17:53:20,0,942,3220,3353,1422
9/21/2022,17:53:40,0,947,3146,3353,1426
9/21/2022,17:54:00,,938,2257,3349,1425
9/21/2022,17:54:20,,940,2434,3347,1424
9/21/2022,17:54:40,0,942,2420,3353,1423
9/21/2022,17:55:00,,943,2063,3346,1428
9/21/2022,17:55:20,,937,1855,3334,1429
9/21/2022,17:55:40,,937,2735,3345,1419
9/21/2022,17:56:00,,942,2957,3339,1417
9/21/2022,17:56:20,,937,2772,3342,1421
9/21/2022,17:56:40,,937,3463,3360,1419
9/21/2022,17:57:00,,933,2553,3342,1418
9/21/2022,17:57:20,,928,1388,3339,1419
9/21/2022,17:57:40,,935,2446,3343,1425
9/21/2022,17:58:00,,935,2891,3337,1421
9/21/2022,17:58:20,,935,1923,3334,1421
9/21/2022,17:58:40,,937,2085,3350,1422
9/21/2022,17:59:00,,931,2452,3352,1420
9/21/2022,17:59:20,,912,3446,3331,1380
9/21/2022,17:59:40,,873,1777,3269,1313
9/21/2022,18:00:00,,837,2931,3214,1279
9/21/2022,18:00:20,,848,1832,3191,1282
9/21/2022,18:00:40,,847,2530,3185,1294
9/21/2022,18:01:00,,849,2175,3196,1308
9/21/2022,18:01:20,,833,3019,3196,1334
9/21/2022,18:01:40,,860,2107,3210,1335
9/21/2022,18:02:00,,867,2566,3212,1338
9/21/2022,18:02:20,,867,3471,3220,1344
9/21/2022,18:02:40,,874,2805,3212,1346
9/21/2022,18:03:00,,881,3456,3226,1350
9/21/2022,18:03:20,,874,983,3228,1357
9/21/2022,18:03:40,,879,3385,3234,1354
9/21/2022,18:04:00,,884,1946,3240,1358
9/21/2022,18:04:20,,885,2855,3239,1360
9/21/2022,18:04:40,,885,3265,3236,1363
9/21/2022,18:05:00,,887,2679,3231,1364
9/21/2022,18:05:20,,887,3341,3244,1365
9/21/2022,18:05:40,,890,2816,3248,1366
9/21/2022,18:06:00,0,890,1808,3250,1368
9/21/2022,18:06:20,,890,3148,3257,1370
9/21/2022,18:06:40,,894,2180,3256,1369
9/21/2022,18:07:00,,897,1919,3262,1367
9/21/2022,18:07:20,,896,2601,3254,1369
9/21/2022,18:07:40,,895,1958,3266,1373
9/21/2022,18:08:00,,899,2036,3265,1373
9/21/2022,18:08:20,,902,3388,3266,1375
9/21/2022,18:08:40,,898,1301,3271,1377
9/21/2022,18:09:00,,904,3070,3279,1376
9/21/2022,18:09:20,,899,3556,3279,1375
9/21/2022,18:09:40,,901,3839,3281,1374
9/21/2022,18:10:00,,899,3644,3284,1380
9/21/2022,18:10:20,,900,3100,3304,1379
9/21/2022,18:10:40,,901,2611,3287,1383
9/21/2022,18:11:00,,907,2209,3286,1383
9/21/2022,18:11:20,,906,2112,3304,1384
