Date,Time,"VOC_Sensor {device=""F1"", name=""VOC_data""}","VOC_Sensor {device=""MQ135"", name=""VOC_data""}","VOC_Sensor {device=""MQ138"", name=""VOC_data""}","VOC_Sensor {device=""MQ3"", name=""VOC_data""}","VOC_Sensor {device=""MQ9"", name=""VOC_data""}"
19-09-2022,07:48:40,,138,2501,963,155
19-09-2022,07:49:00,,136,2626,971,158
19-09-2022,07:49:20,,139,1031,966,157
19-09-2022,07:49:40,,140,2979,971,158
19-09-2022,07:50:00,,138,2738,965,157
19-09-2022,07:50:20,,143,2997,967,159
19-09-2022,07:50:40,,134,3836,963,156
19-09-2022,07:51:00,,138,1947,966,155
19-09-2022,07:51:20,0,132,2297,960,155
19-09-2022,07:51:40,0,140,2683,965,181
19-09-2022,07:52:00,,136,2801,965,161
19-09-2022,07:52:20,,168,2614,951,157
19-09-2022,07:52:40,,140,3795,969,162
19-09-2022,07:53:00,,138,2923,969,160
19-09-2022,07:53:20,,137,2306,962,157
19-09-2022,07:53:40,0,141,3181,967,162
19-09-2022,07:54:00,,136,2926,966,159
19-09-2022,07:54:20,,131,3039,966,158
19-09-2022,07:54:40,,143,2645,962,157
19-09-2022,07:55:00,,139,2185,965,160
19-09-2022,07:55:20,,139,2730,964,157
19-09-2022,07:55:40,,136,3631,964,157
19-09-2022,07:56:00,,138,1712,959,162
19-09-2022,07:56:20,,138,3078,961,158
19-09-2022,07:56:40,,138,1892,964,158
19-09-2022,07:57:00,,156,2339,919,157
19-09-2022,07:57:20,,139,2332,962,159
19-09-2022,07:57:40,,145,1999,963,157
19-09-2022,07:58:00,,138,2695,958,157
19-09-2022,07:58:20,,139,2955,963,160
19-09-2022,07:58:40,,140,3172,962,159
19-09-2022,07:59:00,0,139,2562,958,153
19-09-2022,07:59:20,,143,3497,960,159
19-09-2022,07:59:40,,137,1893,962,156
19-09-2022,08:00:00,,140,2825,958,161
19-09-2022,08:00:20,,136,2843,973,158
19-09-2022,08:00:40,,141,3055,961,161
19-09-2022,08:01:00,,135,2766,961,150
19-09-2022,08:01:20,,139,2465,958,154
19-09-2022,08:01:40,,139,3980,960,159
19-09-2022,08:02:00,,139,3048,962,160
19-09-2022,08:02:20,,139,2273,961,158
19-09-2022,08:02:40,,138,2767,972,162
19-09-2022,08:03:00,,136,2856,977,159
19-09-2022,08:03:20,,142,3149,978,152
19-09-2022,08:03:40,,138,2396,975,158
19-09-2022,08:04:00,,136,2564,975,167
19-09-2022,08:04:20,,127,2506,971,154
19-09-2022,08:04:40,,141,1238,968,163
19-09-2022,08:05:00,,138,1778,969,155
19-09-2022,08:05:20,,138,2042,969,156
19-09-2022,08:05:40,0,139,1808,956,159
19-09-2022,08:06:00,,135,3450,957,160
19-09-2022,08:06:20,,138,2134,954,148
19-09-2022,08:06:40,,137,2750,954,155
19-09-2022,08:07:00,0,143,2406,953,159
19-09-2022,08:07:20,,138,2078,954,158
19-09-2022,08:07:40,,137,2011,946,152
19-09-2022,08:08:00,,140,3280,957,157
19-09-2022,08:08:20,,139,2127,951,156
19-09-2022,08:08:40,0,140,2530,953,157
19-09-2022,08:09:00,,138,2116,952,160
19-09-2022,08:09:20,,139,2830,950,152
19-09-2022,08:09:40,0,138,1285,951,152
19-09-2022,08:10:00,,136,2638,948,154
19-09-2022,08:10:20,,134,2721,950,159
19-09-2022,08:10:40,,138,1829,946,156
19-09-2022,08:11:00,,144,2765,947,157
19-09-2022,08:11:20,,136,2466,949,159
19-09-2022,08:11:40,,140,2170,942,156
19-09-2022,08:12:00,,136,751,948,155
19-09-2022,08:12:20,,136,2488,953,155
19-09-2022,08:12:40,,138,3082,946,157
19-09-2022,08:13:00,0,136,3064,949,158
19-09-2022,08:13:20,,138,2350,948,156
19-09-2022,08:13:40,,138,3625,947,154
19-09-2022,08:14:00,,132,3461,945,156
19-09-2022,08:14:20,,139,3469,945,155
19-09-2022,08:14:40,,138,2295,945,155
19-09-2022,08:15:00,,136,1931,946,149
19-09-2022,08:15:20,0,138,2368,944,155
19-09-2022,08:15:40,,137,1756,944,149
19-09-2022,08:16:00,,133,2733,944,156
19-09-2022,08:16:20,,135,2864,950,156
19-09-2022,08:16:40,0,133,2283,943,151
19-09-2022,08:17:00,,136,2939,942,154
19-09-2022,08:17:20,0,146,3032,946,153
19-09-2022,08:17:40,,136,2876,940,155
19-09-2022,08:18:00,,138,2433,938,155
19-09-2022,08:18:20,0,136,2076,942,153
19-09-2022,08:18:40,0,137,494,943,148
19-09-2022,08:19:00,,138,1755,942,158
19-09-2022,08:19:20,0,139,2831,948,152
19-09-2022,08:19:40,,138,2183,948,155
19-09-2022,08:20:00,,131,1995,947,157
19-09-2022,08:20:20,,135,2813,952,154
19-09-2022,08:20:40,,139,3482,945,153
19-09-2022,08:21:00,0,139,1520,946,155
19-09-2022,08:21:20,,141,1688,948,158
19-09-2022,08:21:40,,138,1841,947,159
19-09-2022,08:22:00,,138,2012,945,146
19-09-2022,08:22:20,,135,3325,947,156
19-09-2022,08:22:40,,135,3664,944,157
19-09-2022,08:23:00,,138,3187,945,157
19-09-2022,08:23:20,,136,2774,945,154
19-09-2022,08:23:40,,138,2627,949,155
19-09-2022,08:24:00,,141,2878,947,156
19-09-2022,08:24:20,,133,2622,951,159
19-09-2022,08:24:40,0,138,3581,946,157
19-09-2022,08:25:00,,135,2134,949,159
19-09-2022,08:25:20,,137,2307,949,160
19-09-2022,08:25:40,0,137,3061,951,159
19-09-2022,08:26:00,,133,3192,947,157
19-09-2022,08:26:20,0.31,176,2732,944,158
19-09-2022,08:26:40,,140,3289,952,159
19-09-2022,08:27:00,,138,3066,949,158
19-09-2022,08:27:20,,137,2576,948,138
19-09-2022,08:27:40,0,137,2551,949,158
19-09-2022,08:28:00,,135,2060,950,159
19-09-2022,08:28:20,0,137,3072,949,154
19-09-2022,08:28:40,,141,1389,949,158
19-09-2022,08:29:00,,136,2383,952,160
19-09-2022,08:29:20,,139,1994,952,158
19-09-2022,08:29:40,,139,2890,954,157
19-09-2022,08:30:00,0,138,1945,950,159
19-09-2022,08:30:20,,132,2273,958,154
19-09-2022,08:30:40,0,138,2803,955,159
19-09-2022,08:31:00,0,138,2353,953,158
19-09-2022,08:31:20,,144,2471,952,158
19-09-2022,08:31:40,,141,1327,957,146
19-09-2022,08:32:00,,140,2083,956,160
19-09-2022,08:32:20,,141,3036,953,159
19-09-2022,08:32:40,,136,3202,957,162
19-09-2022,08:33:00,,155,1827,953,156
19-09-2022,08:33:20,,136,2669,984,152
19-09-2022,08:33:40,,140,2554,959,158
19-09-2022,08:34:00,0,140,2152,962,162
